amount.sum,demarcation.code,financial_year_end.year
549772408.0,NC076,2023
602322575.0,NC076,2024
11662799.0,NC077,2020
100089593.0,NC077,2021
19814334.0,NC077,2022
600830419.0,NC077,2023
929245487.0,NC077,2024
5389278.0,NC078,2020
3004848.0,NC078,2021
922261051.0,NC078,2022
1001340483.0,NC078,2023
-101464955.0,NC078,2024
5557595.0,NC082,2020
139040841.0,NC082,2021
901987.0,NC082,2022
901987.0,NC082,2024
11627100.0,NC084,2020
72175227.0,NC084,2021
54127244.0,NC084,2022
32128657.0,NC084,2023
30358570.0,NC084,2024
12148009.0,NC085,2020
-87374195.0,NC085,2022
-124571752.0,NC085,2023
-131223081.0,NC085,2024
1343840.0,NC086,2020
11645422.0,NC086,2021
18226321.0,NC086,2022
27359959.0,NC086,2023
32900742.0,NC086,2024
17696317.0,NC087,2021
341140726.0,NC087,2022
492052456.0,NC087,2023
507995340.0,NC087,2024
73916044.0,NC091,2020
29423154.0,NC091,2021
-668429931.0,NC091,2022
-599622381.0,NC091,2023
-96711629.0,NC091,2024
34843591.0,NC092,2020
-8336754.0,NC092,2021
16323392.0,NC092,2022
16323392.0,NC092,2023
-326554150.0,NC092,2024
586494.0,NC093,2020
-39823037.0,NC093,2021
2328567.0,NC093,2022
-15036352.0,NC093,2023
23364922.0,NC093,2024
13779612.0,NC094,2020
198936818.0,NC094,2022
171582603.0,NC094,2023
1992676.0,NC451,2020
62769727.0,NC451,2021
-150173752.0,NC451,2022
716904424.0,NC451,2023
-242561884.0,NC451,2024
595328261.0,NC452,2020
273644746.0,NC452,2021
133162739.0,NC452,2022
55715283.0,NC452,2023
140989944.0,NC452,2024
-39312559.0,NC453,2020
-1850207.0,NC453,2021
505764862.0,NC453,2022
821032623.0,NC453,2024
-53767062.0,NMA,2020
-113256576.0,NMA,2021
-134829548.0,NMA,2022
5040989186.0,NMA,2023
3664751213.0,NMA,2024
13578349.0,NW371,2020
241369908.0,NW371,2021
514218534.0,NW371,2022
611305622.0,NW371,2023
826737623.0,NW371,2024
61701106.0,NW372,2020
238872857.0,NW372,2021
1120037863.0,NW372,2022
382294730.0,NW372,2023
917731762.0,NW372,2024
3175339415.0,NW373,2020
5156716608.0,NW373,2021
6715325926.0,NW373,2022
17608175622.0,NW373,2023
31674462463.0,NW373,2024
243906654.0,NW374,2021
